"File Time","Total Events","Opens","Closes","Reads","Writes","Read Bytes","Write Bytes","Get ACL","Set ACL","Other","Path"
"0.0000316","3","3","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_1272203\libcrypto-1_1-x64.dll"
"0.0000315","3","3","0","0","0","0","0","0","0","0","C:\Program Files\Git\cmd\libcrypto-1_1-x64.dll"
"0.0000312","3","3","0","0","0","0","0","0","0","0","C:\Windows\System32\WindowsPowerShell\v1.0\libcrypto-1_1-x64.dll"
"0.0000304","3","3","0","0","0","0","0","0","0","0","C:\Windows\system\libcrypto-1_1-x64.dll"
"0.0000304","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\encodings\__init__.cp37-win_amd64.pyd"
"0.0000299","3","3","0","0","0","0","0","0","0","0","C:\Anaconda\Scripts\Library\bin\libcrypto-1_1-x64.dll"
"0.0000295","3","3","0","0","0","0","0","0","0","0","C:\Program Files\Microsoft SQL Server\120\Tools\Binn\libcrypto-1_1-x64.dll"
"0.0000288","5","1","1","0","0","0","0","0","0","3","C:\Program Files (x86)\NVIDIA Corporation\PhysX"
"0.0000279","1","1","0","0","0","0","0","0","0","0","C:\Windows\System32\api-ms-win-appmodel-runtime-l1-1-2.DLL"
"0.0000259","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\site-packages\mpl_toolkits\__init__.py"
"0.0000255","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\site-packages\mpl_toolkits\__init__.pyd"
"0.0000248","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\site-packages\mpl_toolkits\__init__.pyw"
"0.0000247","2","2","0","0","0","0","0","0","0","0","C:\Anaconda\Scripts\api-ms-win-core-path-l1-1-0.dll"
"0.0000247","2","2","0","0","0","0","0","0","0","0","C:\Program Files\Common Files\Intel\WirelessCommon\api-ms-win-core-path-l1-1-0.dll"
"0.0000243","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\site-packages\mpl_toolkits\__init__.pyc"
"0.0000239","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\encodings\__init__.pyd"
"0.0000235","3","3","0","0","0","0","0","0","0","0","C:\Users\Андрей\Desktop\HW scripts\ C:\Program Files (x86)\Graphviz2.38\bin\libcrypto-1_1-x64.dll"
"0.0000227","2","2","0","0","0","0","0","0","0","0","C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\api-ms-win-core-path-l1-1-0.dll"
"0.0000224","2","2","0","0","0","0","0","0","0","0","C:\Windows\System32\wbem\api-ms-win-core-path-l1-1-0.dll"
"0.0000222","2","2","0","0","0","0","0","0","0","0","C:\Program Files\Intel\WiFi\bin\api-ms-win-core-path-l1-1-0.dll"
"0.0000219","2","2","0","0","0","0","0","0","0","0","C:\Users\Андрей\Desktop\HW scripts\api-ms-win-core-path-l1-1-0.dll"
"0.0000219","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\importlib\__init__.cp37-win_amd64.pyd"
"0.0000215","2","2","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Common Files\Across\api-ms-win-core-path-l1-1-0.dll"
"0.0000215","2","2","0","0","0","0","0","0","0","0","C:\Program Files\Git\cmd\api-ms-win-core-path-l1-1-0.dll"
"0.0000215","2","2","0","0","0","0","0","0","0","0","C:\Windows\system\api-ms-win-core-path-l1-1-0.dll"
"0.0000207","2","2","0","0","0","0","0","0","0","0","C:\Windows\System32\WindowsPowerShell\v1.0\api-ms-win-core-path-l1-1-0.dll"
"0.0000202","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\collections\__init__.cp37-win_amd64.pyd"
"0.0000199","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\collections\__init__.pyd"
"0.0000198","2","2","0","0","0","0","0","0","0","0","C:\Program Files\Microsoft SQL Server\120\Tools\Binn\api-ms-win-core-path-l1-1-0.dll"
"0.0000195","2","2","0","0","0","0","0","0","0","0","C:\Anaconda\Scripts\Library\bin\api-ms-win-core-path-l1-1-0.dll"
"0.0000195","2","2","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_1272203\API-MS-WIN-CORE-PATH-L1-1-0.DLL"
"0.0000195","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\site-packages\sphinxcontrib\__init__.cp37-win_amd64.pyd"
"0.0000194","2","2","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_1272203\api-ms-win-core-path-l1-1-0.dll"
"0.0000182","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\importlib\__init__.pyd"
"0.0000179","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\site-packages\sphinxcontrib\__init__.pyd"
"0.0000163","1","1","0","0","0","0","0","0","0","0","C:\Windows\System32\api-ms-win-core-datetime-l1-1-1.DLL"
"0.0000154","2","2","0","0","0","0","0","0","0","0","C:\Users\Андрей\Desktop\HW scripts\ C:\Program Files (x86)\Graphviz2.38\bin\api-ms-win-core-path-l1-1-0.dll"
"0.0000150","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\CRYPTBASE.dll"
"0.0000146","1","1","0","0","0","0","0","0","0","0","C:\Windows\System32\api-ms-win-core-localization-l1-2-1.DLL"
"0.0000146","1","1","0","0","0","0","0","0","0","0","C:\Windows\System32\api-ms-win-core-localization-obsolete-l1-2-0.DLL"
"0.0000134","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\python._pth"
"0.0000130","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\CRYPTSP.dll"
"0.0000129","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\VERSION.dll"
"0.0000118","1","1","0","0","0","0","0","0","0","0","C:\Users\Андрей\AppData\Roaming\Python\Python37\site-packages"
"0.0000114","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\python37._pth"
"0.0000000","2","0","0","0","0","0","0","0","0","2","C:\Anaconda\*"
"0.0000000","2","0","0","0","0","0","0","0","0","2","C:\Anaconda\Lib\site-packages\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Anaconda\DLLs\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Anaconda\Lib\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Anaconda\Lib\encodings\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Anaconda\Lib\importlib\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Anaconda\Lib\site-packages\pythonwin\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Anaconda\Lib\site-packages\win32\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Anaconda\Lib\site-packages\win32\lib\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","C:\Users\Андрей\Desktop\HW scripts\*"
"0.0000000","1","0","0","0","0","0","0","0","0","1","D:\GoldenDict\ruenru\*"
